,C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
0,-0.00455779840958624,0.007948943854380112,-0.003239060599197265,0.14722512874176305,0.008534928477898922,0.039735558539339674,-0.1796976589178707,-0.13742360125016695,0.19354805086295906,-0.009909834782342516,-0.09414366818966094,-0.28199475613328406,-0.006399121737016838,-0.04395622786085581
1,0.01044576837416415,-0.02117720686181828,-0.006848136640589986,-0.09901651962766476,-0.01912009639785867,-0.0480921479759476,0.7418939935242171,0.1586889752605719,-0.7196561061980512,-0.014867616733994459,0.13726185225159238,0.6460904609691785,-0.014548556875816864,-0.0015530022307996929
2,-0.0066371197994336256,0.015091881339979085,0.1500917849925296,0.04972241077369139,0.010005978661437053,0.03896968749646114,-1.0102929154069635,6.230852814247679,0.8158308729863213,0.4395577408526959,4.315857642405481,-0.4396284969388614,0.3064616549587099,2.0136374322737884
3,0.1825482777386524,-0.3488718742845059,0.3145218338856925,-1.4650396781822481,-0.2973585745337133,-1.7470686254601944,0.459708624361176,-7.195296802678377,-0.28135410258646654,0.6657454378529264,-6.196211821869693,12.460819382379974,0.6733763203706218,0.09011555199618629
4,-0.4195194286621307,0.9295549789527935,-2.3647775852601463,3.8483672658627386,0.6984959767064384,2.0356197608754734,7.2713020718201635,-94.43811723921897,-8.485118748533411,-6.3549502314706094,-66.76735776932135,-28.386845383999454,-5.09412618803996,-31.06235987126547
5,0.26732518295934066,-0.6627783696928764,-4.876474834548863,-2.225987191853895,-0.3308198630430179,-1.6683322501433424,-30.029908057770264,109.01913904147018,31.511292744813726,-9.85311392489437,93.09072366660055,19.387876279906592,-10.589927062269268,-1.9261968924812904
6,-1.6776106259132841,4.962450104509064,17.952941287745396,14.527567150988721,2.7273349199843677,25.457596521900147,40.85434266539337,686.911522042037,-35.546778439824,42.01569424007423,496.1038865097786,-180.03884343803432,41.06714315677939,228.70734403134543
7,4.94614542793638,-13.224954299953222,36.21662269993553,-43.64239874846072,-5.130153070946269,-26.792610203073675,-18.574959713296753,-785.2865447016657,12.160199164210026,68.74894541673174,-662.0605024427138,405.61334505778404,80.29477682159548,19.774427178762664
8,-3.1723846261215836,9.438719196427858,-73.52415151120162,25.961829545526644,2.1608410329882486,22.54967954460868,-79.69428495291093,-2659.784567296027,119.50301398967235,-140.98491855680734,-2008.32374719402,-279.0606132579189,-172.03023914501588,-905.2904637377832
9,11.048050673444529,-32.41483233534516,-145.88967423994902,-71.03944797261944,-8.342840664931133,-170.46155056560897,354.4751218522205,3057.9529418860834,-442.7512901716146,-254.2579775375978,2530.507382019235,1216.2421738071978,-333.12913308082136,-107.68837723425612
10,-25.18475429385356,86.68689888918551,174.909980332193,214.71965962932805,5.393856353152301,154.539919948841,-482.47476448588395,5900.050653116422,494.12550709148275,236.1132161267565,4671.444813731349,-2695.5485516027957,430.094732470106,2007.4498442770346
11,16.271162431983797,-61.835823589526385,332.7825656485248,-128.82389149360688,3.539017894186985,-137.09654310040742,219.53361363707998,-6716.457341708355,-165.86208092984197,515.7562844007069,-5420.536502234536,1874.811787656564,792.2006940122003,331.31732218481756
12,-26.470881008397086,109.7063525043255,-228.04352417885198,154.62972840375488,-4.11904328078725,587.888923345649,404.7859490324286,-7391.18279983499,-748.2977492908013,-187.24227298828143,-6106.362143849751,-4376.735713008289,-548.4114783201121,-2396.797866125499
13,60.607729312247244,-292.247411633723,-420.75258776214025,-502.1445492198297,71.79561770488591,-451.9902528535341,-1710.5811341997044,8284.804241871967,2769.4834284086487,-496.4538311786837,6487.204907022383,9515.236233670781,-1060.5939331880534,-558.6656405719528
14,-39.22227404265666,209.64339985206377,157.7062812768015,308.9660239045478,-67.50294109114365,425.7739074216078,2333.8603353405088,4824.056512523546,-3016.6505342694627,56.217312481638324,4109.660717460513,-6712.374321993729,326.3410192359042,1429.9035351094337
15,29.25415305501467,-196.23611304198118,271.0058313866818,-161.93736825783517,56.72545906133813,-1161.0511487091785,-1064.8172544756071,-5340.456335296704,969.8076496780787,175.24770717769937,-4034.762430985655,8905.916043790761,732.9903586168692,463.4282364734269
16,-65.22194401050918,522.6468372233577,-45.62640406422145,546.4338325420382,-280.35208284639384,699.1506606354421,-900.742085828404,-1271.3098004813628,2269.502250017651,1.0,-1101.216444723372,-18845.61680405464,-71.64279412864174,-334.4509086292136
17,42.5374555203642,-376.0188696037843,-69.05023194566482,-348.0330822547563,217.32068465940296,-724.1105230084005,3779.250763219757,1397.2404656079518,-8289.683561577607,1.0,1013.1119204045626,13516.343085454302,-202.04344500265074,-146.49760719030527
18,-11.077271231780799,174.41993348357238,1.0,63.720595160682514,-86.85401386991329,1264.7166856163813,-5169.416669156748,1.0,8583.061793957,1.0,1.0,-10201.452712016977,1.0,1.0
19,23.109506247919228,-463.4080353515486,1.0,-215.75230098333572,365.15539104468075,-565.1702757759625,2368.6523910173973,1.0,-2450.205775978154,1.0,1.0,21044.782103308793,1.0,1.0
20,-14.777594112476296,335.64536888006035,1.0,141.28653174898633,-276.2247042162055,698.7448176111574,892.8798397751505,1.0,-2997.9601170741507,1.0,1.0,-15345.168635840571,1.0,1.0
21,1.0,-59.15528071002032,1.0,1.0,38.532953467911085,-694.3227919187636,-3770.5891708892655,1.0,10518.701104405269,1.0,1.0,6111.9477587247975,1.0,1.0
22,1.0,156.0305924637529,1.0,1.0,-152.86829155971873,217.3992126091965,5170.613735807781,1.0,-8961.027941941753,1.0,1.0,-12383.136289254922,1.0,1.0
23,1.0,-113.58598086905508,1.0,1.0,117.02089292901654,-368.86990913049283,-2380.1394053760882,1.0,1176.5786495602074,1.0,1.0,9164.211963931048,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,148.72264569629948,-321.26479959206756,1.0,367.7185689393265,1.0,1.0,-1487.9392847785423,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,-28.6142836706229,1365.4711864897145,1.0,2.9529909258556852,1.0,1.0,2986.0816236780856,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,84.16571812149786,-1875.8024007465835,1.0,-5771.011371084423,1.0,1.0,-2237.529046737929,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,866.5376023332623,1.0,5793.344579940444,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2464.6351884228357,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-10595.118349384036,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17508.356714013775,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9731.021402486793,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1459.955651681041,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5975.575316054031,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8755.93518448845,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4371.631342717806,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
