C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,radius,nu
1.26516081,0.0104791,0.00084013,347.97698128,2.70170896,0.14299061,20.04481861,0.2730731,0.18670892,0.00127058,0.00769777,0.00610687,0.01891277,0.00405098,0.2,0.25
12.51569894,0.33874496,0.08578806,300.11240045,6.29789346,-0.76379654,176.64069505,8.63732034,4.96372643,0.01969045,0.78632625,0.54640131,1.75374516,0.42311493,0.62,0.25
36.16269805,1.72227236,0.75529891,211.13061665,4.4881059,-7.51222505,450.02639315,41.97284573,21.7443312,0.22413247,6.70986206,4.08100038,13.88972118,3.82059859,1.04,0.25
73.31989896,5.12628192,3.27034955,61.32990425,-8.43568697,-24.24084869,794.87310043,116.36574664,55.57206874,1.56351337,26.77794775,14.77119155,53.45746687,17.28937035,1.46,0.25
125.95104735,11.91568613,10.12227003,-185.20111771,-43.67163813,-54.64941459,1170.72718718,240.24025501,108.79306481,6.42027707,70.29308172,38.0223505,144.67299265,56.52767511,1.88,0.25
196.94275175,23.99793019,25.3052873,-551.8410598,-113.79652181,-102.2430328,1536.19570724,400.63056851,181.03919179,20.24451966,129.34082686,79.58932522,309.93659367,146.42258384,2.30,0.25
292.19045168,44.38160877,55.20525545,-1071.02925839,-230.40325509,-168.22983902,1848.84363615,543.74990946,274.24452371,53.13939908,153.0829457,143.82143542,559.49287653,313.30004767,2.72,0.25
400.92783577,75.10807789,92.65815249,-1436.86281886,-381.3131937,-239.45974461,2013.4235923,661.79681207,342.83193959,96.23219838,82.76413665,178.22281736,757.68717504,439.49384227,3.14,0.25
537.56821064,120.97612205,146.92503746,-1799.92242429,-548.75336399,-284.63837249,2018.73074986,674.67165138,382.58609463,136.8601246,-93.56248641,188.99545964,910.93607508,544.88164039,3.56,0.25
708.40964565,187.34406395,219.90476861,-1994.10777672,-657.50835631,-286.73770267,1806.89670553,523.55787811,371.04191191,127.85656773,-331.58774642,142.481204,894.22925968,508.16795658,3.98,0.25
861.49458583,254.53404982,281.25853619,-1806.72639249,-673.41772369,-243.86527032,1442.8465731,369.20467903,272.71963177,80.27979687,-444.89305424,64.94061978,707.07107482,356.75311783,4.40,0.25
1003.69298177,317.97469113,335.85719145,-1375.09137887,-531.83502803,-178.62505287,978.53523487,174.80127926,164.04850964,17.32556855,-414.23577896,-3.43803983,448.49694743,176.06106415,4.82,0.25
1.26247881,0.01140921,0.00084745,343.92070553,2.94809513,0.14365926,20.00854154,0.27326495,0.20689944,0.00146851,0.00785521,0.00610017,0.01890707,0.0040886,0.2,0.28
12.52846985,0.37200488,0.08629694,300.22220239,7.36315509,-0.81917964,176.84888129,8.67596505,5.47796367,0.02871185,0.79697641,0.54907173,1.75117149,0.42990561,0.62,0.28
36.25795272,1.89721845,0.76564542,211.53651993,6.10592422,-7.70103942,451.12639072,42.26647997,24.00107906,0.29819422,6.89075693,4.12796886,13.96693966,3.919973,1.04,0.28
73.59277169,5.67666799,3.29996658,68.49385794,-6.01422018,-24.63462185,797.19622368,117.37193113,61.35431211,1.97531884,27.44647801,14.8781125,53.55092809,17.48342423,1.46,0.28
126.69671894,13.25576439,10.21919395,-175.44206213,-42.54171276,-55.02389976,1175.52268357,242.52534684,120.28715553,7.76486872,72.19709558,38.34950542,144.94104122,56.84243202,1.88,0.28
198.71963619,26.87776766,25.48966675,-544.2375736,-118.01992899,-102.12757529,1543.91895497,403.99865742,199.89829246,23.57051802,132.77395208,80.51971915,309.98602989,146.26506967,2.30,0.28
296.02177668,50.18478057,55.28954461,-1074.62390608,-247.46174377,-167.20550237,1859.15857621,546.78127537,301.56493294,59.56770756,157.75121761,145.72263957,556.67408071,309.16564909,2.72,0.28
408.33368796,85.62305975,92.42975401,-1460.20977067,-419.47395664,-237.39353276,2021.31090817,662.58070092,373.4641381,106.42570372,88.42872182,180.72761605,751.7739814,431.23036699,3.14,0.28
551.31175969,139.70122115,145.75687151,-1857.24164113,-618.98958642,-281.52854236,2018.11191071,672.21755658,410.53331958,149.63952046,-83.4217326,191.20049089,899.02135892,529.60245674,3.56,0.28
733.78828692,220.6674162,216.7818032,-2097.08183719,-764.53055683,-285.15683287,1792.75020908,516.85274816,389.72935618,138.5305573,-313.82182527,143.10318378,875.30193338,488.17603614,3.98,0.28
900.44828531,304.52504012,276.22020749,-1937.34115649,-804.48757209,-243.43254774,1410.0467779,360.62315611,271.85882747,87.02253793,-423.35414805,64.73173551,688.5066396,341.65260283,4.40,0.28
1058.0781238,386.67397206,328.87085327,-1500.74306621,-652.88436402,-180.86902439,941.34416472,165.51704468,152.45174861,17.6783679,-396.68424436,-4.16756688,433.66096062,169.19081102,4.82,0.28
1.26285266,0.01239665,0.0008521,342.26360868,3.22552695,0.14186242,20.01922295,0.2737759,0.22760867,0.00164638,0.00792724,0.00612821,0.01887351,0.00414551,0.2,0.31
12.54255486,0.40535811,0.08686426,300.1808375,8.42489688,-0.87654984,177.08029068,8.71632542,5.99796389,0.03676122,0.80855671,0.55187375,1.75013599,0.43655409,0.62,0.31
36.34285535,2.07481093,0.77252926,214.70162134,8.07348674,-7.92527354,452.14538497,42.57060982,26.29418013,0.37553297,7.03493116,4.1522612,13.9876809,3.97099147,1.04,0.31
73.89072928,6.23733957,3.33412931,75.80725214,-3.43816252,-25.06264583,799.87346049,118.44707303,67.31877466,2.37878818,28.14559773,14.9731333,53.69418613,17.64252812,1.46,0.31
127.43117102,14.63469913,10.28906242,-162.48268477,-40.44764488,-55.33305873,1180.31866025,244.93226382,131.89376722,9.16863318,74.09232883,38.52964798,144.99179352,56.77649019,1.88,0.31
200.72720053,29.91071071,25.70735162,-537.20740119,-122.21582416,-101.93590135,1552.67509949,407.69577156,219.12487153,27.00276799,136.44975141,81.45521031,310.48693323,146.00541716,2.30,0.31
300.43992331,56.42345751,55.45483769,-1080.39464374,-265.45614579,-165.88091004,1870.81116996,550.28503599,329.16031155,66.31652318,162.81221523,147.75970587,554.73345244,304.85462553,2.72,0.31
416.97180048,97.17151973,92.28851147,-1490.40305249,-461.86765717,-235.02007629,2029.05333644,663.92698157,402.66050343,117.03614626,94.13424575,183.20655292,746.65410935,422.65224553,3.14,0.31
567.74591772,160.82747076,144.71170661,-1931.27913416,-700.60490047,-278.07210396,2013.32738449,670.46170366,432.73044299,162.8714567,-73.37761378,193.32785804,887.91841668,514.10521477,3.56,0.31
755.71968817,254.89311783,210.29809656,-2212.1525202,-910.51555505,-280.98137929,1771.63685839,543.99689403,380.00746573,157.68026534,-283.25854041,146.11161027,862.98926976,479.97542589,3.98,0.31
950.37669973,364.89988628,271.46526265,-2119.17416112,-973.92061108,-243.617393,1354.06736432,351.92252055,246.28060726,93.31091054,-402.17291894,64.46585573,670.60667499,326.82320805,4.40,0.31
1130.70905374,472.61886945,322.40171915,-1680.65782607,-815.86920665,-185.05070995,875.30598478,153.59615976,111.98871186,16.25026863,-379.09792894,-5.48664445,418.64050629,161.71980201,4.82,0.31
1.26327576,0.01337844,0.00085813,340.13993308,3.49305967,0.14024386,20.03100177,0.27429337,0.24854306,0.00181211,0.00801979,0.00616207,0.01887043,0.00420132,0.2,0.34
12.55420659,0.43852076,0.08763421,298.45818615,9.41379901,-0.93284132,177.27662871,8.75804373,6.50722228,0.04319935,0.82491841,0.55831216,1.75402491,0.44326162,0.62,0.34
36.43624607,2.25458437,0.78012048,217.73035568,10.07855215,-8.16043439,453.27940565,42.89175186,28.62184505,0.44697157,7.19017392,4.17690143,14.02314856,4.02005781,1.04,0.34
74.2181639,6.81123336,3.3714743,83.13384158,-0.70792192,-25.5147463,802.85666211,119.59067446,73.40298921,2.77302402,28.89112463,15.06151066,53.89486496,17.78378582,1.46,0.34
128.30660817,16.05293505,10.38194191,-150.67872752,-38.34038868,-55.80650739,1186.0161292,247.50704401,143.86929569,10.62112541,76.03922872,38.68570444,145.22583147,56.67487633,1.88,0.34
202.99682983,33.11982926,25.96529394,-530.94617444,-126.43587996,-101.63958479,1562.59735699,411.74155327,238.80924023,30.56647516,140.40291569,82.43218191,311.5127534,145.67547326,2.30,0.34
305.54557514,63.18090129,55.71765762,-1088.69433594,-284.54872229,-164.13052597,1884.02052207,554.2902336,357.21404353,73.49208663,168.35515085,150.04874388,553.7958394,300.38539569,2.72,0.34
427.07507311,109.97332539,92.24656584,-1528.99314494,-509.60477234,-232.2656393,2036.22665507,665.82554902,430.0099882,128.16673715,99.84105787,185.70843542,742.37986874,413.78113616,3.14,0.34
587.49858724,184.97535072,143.79875201,-2026.84624199,-797.32536301,-274.16698427,2002.08320645,669.39724292,446.96072409,176.68542173,-63.46591045,195.39409342,877.6121073,498.36430377,3.56,0.34
793.89767007,299.88014091,207.79609472,-2395.04274784,-1076.83515481,-278.51392167,1722.73686031,538.53049578,360.70831366,169.5864207,-266.17989693,146.69547881,846.24132532,460.59226929,3.98,0.34
1015.41793703,439.81321316,266.9884222,-2377.58254303,-1202.52958835,-244.61441922,1259.11411509,342.80111038,180.34801411,98.96013606,-381.27343465,64.12068172,653.2617699,312.18546395,4.40,0.34
1228.1672191,582.96187805,316.11839376,-1951.2170715,-1050.40906889,-190.67362795,760.80799338,141.48470732,21.03229952,13.52140815,-362.09852023,-6.38364666,404.5768378,155.12598876,4.82,0.34
1.26376322,0.014354,0.00086633,337.29513838,3.74613457,0.13895184,20.04402567,0.27481785,0.26960079,0.00196615,0.00814413,0.00620618,0.01891156,0.00425708,0.2,0.37
12.57176337,0.47201691,0.08839884,297.77884405,10.4408755,-0.99235601,177.56495457,8.80393459,7.03627929,0.04896749,0.84005692,0.56239056,1.75752215,0.45010127,0.62,0.37
36.53942514,2.43675307,0.78861674,220.52277921,12.10910504,-8.40558289,454.54400475,43.23237396,30.98641454,0.51182499,7.35955142,4.203208,14.07639978,4.06855643,1.04,0.37
74.57828928,7.39969944,3.41264003,90.39400293,2.16832508,-25.99033704,806.17910399,120.80941956,79.62086531,3.1569131,29.69084941,15.14549374,54.16145235,17.91021459,1.46,0.37
129.32718285,17.55150876,10.51529298,-140.99242639,-36.42341805,-56.20595289,1192.81168311,250.3595265,156.21225156,12.02872365,78.37278285,38.96325469,146.05705378,56.81218072,1.88,0.37
205.57494424,36.53580175,26.27570042,-525.8181619,-130.77403855,-101.19210137,1573.89337076,416.15940014,259.07316045,34.29655523,144.69220597,83.52184834,313.19722388,145.34404256,2.30,0.37
311.48715991,70.57159524,56.10748416,-1100.00831429,-304.90848422,-161.73544489,1899.19549334,558.83846681,386.04342353,81.26309839,174.5451679,152.80873202,554.09259325,295.81514303,2.72,0.37
438.97041556,124.32706762,92.32722021,-1578.18505865,-564.21212368,-229.0349734,2042.27431318,668.22372415,454.93914448,139.94730696,105.47644128,188.3242814,739.06655306,404.67740983,3.14,0.37
611.46257232,213.01472133,143.03859674,-2150.94094683,-914.55810069,-269.68378624,1980.95008554,668.96600029,449.87047083,191.23413469,-53.76628609,197.42950368,868.10871568,482.35377785,3.56,0.37
842.4395247,354.74696418,205.5403055,-2645.57907126,-1294.11881828,-276.00571144,1641.82868241,533.0823577,308.17949358,181.64025256,-249.37521031,147.14766783,830.0277506,441.1074537,3.98,0.37
1102.27140903,535.96555215,262.79394229,-2757.06154487,-1527.43845235,-246.77289721,1095.89419408,332.73089633,44.97016491,103.61197781,-360.58404888,63.65829778,636.32621098,297.62613286,4.40,0.37
1364.77191366,731.77663461,310.17262569,-2376.21399981,-1411.01811453,-199.24634684,551.58811023,126.57853327,-165.4577588,7.97583336,-345.22145801,-7.40052215,390.76704818,148.57339873,4.82,0.37
1.26434471,0.01532246,0.00087837,333.20161077,3.97561408,0.13828947,20.05859122,0.2753503,0.29059329,0.00211003,0.0083266,0.00627028,0.01902629,0.0043147,0.2,0.4
12.59185086,0.50564912,0.08933593,296.48711011,11.43144737,-1.05118029,177.89155186,8.85372863,7.56995762,0.05345398,0.857939,0.56778485,1.76463098,0.45759248,0.62,0.4
36.65485795,2.62164654,0.79841286,222.87492854,14.13888328,-8.6580794,455.96753184,43.59719211,33.39024024,0.5690294,7.5491813,4.23415439,14.15383237,4.1194636,1.04,0.4
74.97671619,8.00461028,3.45885284,97.41090586,5.1633788,-26.48667049,809.89542745,122.11436553,85.98845444,3.52843928,30.55894265,15.23111377,54.51129697,18.02972002,1.46,0.4
130.47111602,19.11940138,10.66943072,-131.8287434,-34.35110662,-56.59066741,1200.50237808,253.4527301,168.94053574,13.46162619,80.9250291,39.26143467,147.18251855,56.93821563,1.88,0.4
208.53960064,40.2043787,26.66260137,-522.55304801,-135.41366699,-100.50334257,1586.93451158,420.97965927,280.1082919,38.2503802,149.43471689,84.87961399,315.80908216,145.16614506,2.30,0.4
318.51059219,78.77063918,56.68239258,-1115.01127175,-326.65114722,-158.25168307,1917.19965568,564.00483275,416.30300521,89.94558827,181.7354012,156.50680617,556.08801893,291.2877766,2.72,0.4
462.56036302,145.03707511,96.77895493,-1734.0731931,-632.71909555,-225.64087875,2066.42863552,649.4945819,503.0758728,154.95557321,102.97443972,202.09489986,763.96145863,418.60598306,3.14,0.4
640.99370027,246.24497013,142.47706382,-2314.20809086,-1060.48677253,-264.45784588,1944.65378918,668.95928021,436.2736475,206.69203752,-44.45175187,199.50022349,859.45614339,466.04383445,3.56,0.4
905.73360794,423.80327436,203.59061454,-2998.33846149,-1590.17070671,-273.54157119,1507.73174595,527.03302515,201.67577943,193.68214961,-232.91835184,147.40903829,814.10477763,421.28728844,3.98,0.4
1222.62110641,665.01152975,258.90543184,-3342.20616896,-2020.52939156,-250.7865718,805.59807215,320.66866804,-218.34046727,106.51564563,-340.03919454,63.00684954,619.56704836,282.95233476,4.40,0.4
1553.07045444,933.59028404,303.30175117,-3130.52071947,-2046.67220292,-206.11792143,146.63682279,121.8909909,-559.46555804,6.47213929,-330.72141667,-5.32253833,383.25879724,147.36641775,4.82,0.4
